Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Ligustrum_perrottetii,0.999,0.0,23.5,1.7,0.0,39.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,1.2,0.0
Zanthoxylum_rhetsa,0.65,0.0,2.4,0.0,45.9,0.0,0.0,33.4,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3
Mitrephora_grandiflora,0.928,0.0,0.0,4.5,6.1,0.0,3.9,24.3,0.0,0.0,0.0,0.0,0.0,0.0,46.5,1.4,0.0,3.4,0.0,10.0,0.0
Elaeocarpus_variabilis,0.891,0.0,0.0,0.0,61.9,0.0,0.0,0.0,8.3,0.0,21.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Ancistrocladus_heyneanus,0.99,0.0,3.4,0.0,0.0,0.1,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2,0.0,0.6,32.3,6.1,0.0
Harpullia_arborea,0.894,0.0,3.9,0.0,85.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,8.5
Memecylon_subsessile,0.852,0.0,2.4,1.5,0.0,0.0,24.9,11.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,35.5,0.0,3.7,13.6
Glycosmis_macrocarpa,0.888,0.0,6.4,0.1,6.3,0.4,0.0,67.5,6.4,0.0,0.0,0.0,3.7,0.0,0.1,0.0,0.0,0.0,6.5,0.0,2.6
Ardisia_pauciflora,0.923,4.9,12.9,0.0,0.0,11.9,0.0,39.9,3.0,4.1,12.9,1.3,0.0,0.0,7.0,0.0,0.0,0.0,0.3,0.6,1.3
Gnetum_edule,0.968,0.0,0.4,1.8,6.6,0.3,0.0,0.0,0.0,0.6,0.0,6.3,1.9,0.0,0.1,34.2,2.7,0.0,28.9,5.6,10.6
